============================= test session starts ==============================
platform linux -- Python 3.12.2, pytest-9.0.3, pluggy-1.6.0 -- /arf/home/scolakoglu/NLP_Project/.venv-audit/bin/python
cachedir: .pytest_cache
rootdir: /arf/home/scolakoglu/NLP_Project
configfile: pyproject.toml
plugins: cov-7.1.0, hydra-core-1.3.2, anyio-4.13.0
collecting ... collected 943 items / 2 deselected / 1 skipped / 941 selected

tests/annotation/test_auto_accept.py::TestAutoAccept::test_unambiguous_high_conf_accepted PASSED [  0%]
tests/annotation/test_auto_accept.py::TestAutoAccept::test_ambiguous_low_conf_not_accepted PASSED [  0%]
tests/annotation/test_auto_accept.py::TestAutoAccept::test_already_labeled_preserved PASSED [  0%]
tests/annotation/test_merge.py::TestMerge::test_seed_only PASSED         [  0%]
tests/annotation/test_merge.py::TestMerge::test_seed_plus_batch PASSED   [  0%]
tests/annotation/test_merge.py::TestMerge::test_deduplicates_by_sentence_id PASSED [  0%]
tests/benchmark/test_checklist_morpho.py::test_mft_covers_six_cases_and_six_persons PASSED [  0%]
tests/benchmark/test_checklist_morpho.py::test_mft_includes_negation_and_harmony PASSED [  0%]
tests/benchmark/test_checklist_morpho.py::test_inv_nonempty PASSED       [  0%]
tests/benchmark/test_checklist_morpho.py::test_dir_nonempty PASSED       [  1%]
tests/benchmark/test_checklist_morpho.py::test_run_checklist_collects_pass_fail PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_convert_delegates_to_ud_to_canonical PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_convert_empty_feats PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_compare_tags_exact_match PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_compare_tags_different_feats PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_compare_tags_different_pos PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_evaluate_stanza_returns_none_when_missing PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_evaluate_spacy_returns_none_when_missing PASSED [  1%]
tests/benchmark/test_competitor_accuracy.py::test_evaluate_udpipe_returns_none_when_missing PASSED [  2%]
tests/benchmark/test_competitor_accuracy.py::test_competitor_result_dataclass PASSED [  2%]
tests/benchmark/test_competitor_accuracy.py::test_generate_positioning_summary_nonempty PASSED [  2%]
tests/benchmark/test_competitor_accuracy.py::test_generate_positioning_summary_empty_results PASSED [  2%]
tests/benchmark/test_competitor_accuracy.py::test_run_benchmark_writes_table PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_depth_bucket_splits_deep_tail PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_compound_verb_roots_all_in_table PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_evaluate_compound_handling_counts_correctly PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_evaluate_compound_handling_misses_count PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_si_ambiguity_primary_stratum PASSED [  2%]
tests/benchmark/test_compound_eval.py::test_si_ambiguity_compound_context_via_preceding_gen PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestComputeCorpusStats::test_basic_stats PASSED [  3%]
tests/benchmark/test_corpus_stats.py::TestComputeCorpusStats::test_coverage_at_k_monotonic PASSED [  3%]
